Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Analytical chemist,IT,Increasing,Moderate,132949.61,High School,6,1754,9895,28.1,26.01,USA,76.39
Arboriculturist,Entertainment,Decreasing,Low,108632.78,High School,9,4779,1285,74.72,97.76,USA,71.53
Ecologist,Transportation,Decreasing,Low,88748.37,Associate Degree,14,5640,1517,37.68,91.54,USA,36.5
"Engineer, site",IT,Decreasing,Low,121405.87,PhD,14,845,8407,87.12,89.61,USA,78.72
"Restaurant manager, fast food",Manufacturing,Decreasing,Low,146077.28,Bachelor’s Degree,20,9623,1169,89.41,35.5,USA,35.51
Contracting civil engineer,Education,Increasing,High,33515.78,PhD,4,4637,581,98.9,75.46,USA,39.64
Pension scheme manager,Retail,Increasing,Moderate,77052.61,Associate Degree,8,6089,5266,88.05,89.8,USA,24.5
Risk manager,Education,Increasing,Moderate,36779.36,PhD,8,7426,7222,93.77,35.98,USA,74.54
Television/film/video producer,Finance,Increasing,Low,123753.84,Associate Degree,16,2496,5048,85.96,73.51,USA,23.36
Customer service manager,Retail,Decreasing,Moderate,81367.58,PhD,12,6537,8015,33.3,56.39,USA,30.39
Interior and spatial designer,Finance,Increasing,High,62783.22,Bachelor’s Degree,10,8078,7611,23.28,27.01,USA,72.74
Freight forwarder,Finance,Increasing,Low,91333.05,Associate Degree,17,5900,573,32.44,79.68,USA,41.77
"Scientist, clinical (histocompatibility and immunogenetics)",Manufacturing,Decreasing,Moderate,103993.55,PhD,16,571,9012,27.93,91.22,USA,29.52
Health visitor,Manufacturing,Decreasing,Low,99251.54,Master’s Degree,13,5646,9704,50.14,97.19,USA,24.26
Land/geomatics surveyor,Education,Decreasing,Low,62760.77,PhD,18,9240,3444,47.68,98.77,USA,23.93
"Scientist, research (physical sciences)",Healthcare,Decreasing,Low,78356.45,Master’s Degree,6,4117,7272,93.78,72.51,USA,67.16
Chartered public finance accountant,Healthcare,Increasing,Low,109487.55,PhD,7,8854,6238,22.84,5.77,USA,23.26
Herbalist,Finance,Decreasing,Low,83827.52,Master’s Degree,20,5332,9013,28.42,63.21,USA,63.66
Research scientist (physical sciences),Finance,Decreasing,High,93225.83,Master’s Degree,20,410,2217,54.89,6.92,USA,57.86
Chiropractor,Manufacturing,Increasing,Low,66780.15,PhD,9,4256,7949,84.14,67.75,USA,39.74
Curator,Education,Decreasing,Moderate,86399.14,High School,13,9434,1669,14.55,5.69,USA,69.74
Oncologist,Education,Decreasing,High,114211.02,Bachelor’s Degree,12,6301,922,41.28,87.31,USA,37.4
"Surveyor, building",Entertainment,Increasing,High,131720.51,Master’s Degree,4,9840,9272,76.9,74.72,USA,50.22
"Surveyor, insurance",Entertainment,Increasing,High,65924.07,High School,7,5690,3531,22.72,75.54,USA,30.1
"Lighting technician, broadcasting/film/video",Retail,Increasing,Moderate,61759.68,Bachelor’s Degree,8,3262,4488,60.16,3.17,USA,30.57
Proofreader,Retail,Increasing,Low,82054.19,PhD,0,4833,3440,58.49,88.65,USA,56.83
Fast food restaurant manager,Retail,Decreasing,Low,73351.51,PhD,9,7132,280,51.73,22.68,USA,76.33
Illustrator,Finance,Increasing,Low,119971.75,Bachelor’s Degree,17,2806,7578,14.15,36.01,USA,61.95
Art therapist,IT,Decreasing,High,66365.42,PhD,17,2650,1627,69.62,78.34,USA,33.05
Regulatory affairs officer,Manufacturing,Decreasing,High,70148.55,Bachelor’s Degree,15,539,2946,32.9,30.77,USA,58.93
Public relations account executive,Entertainment,Increasing,Moderate,82547.16,Associate Degree,7,3416,1955,6.49,83.27,USA,69.68
Sub,Education,Decreasing,High,80430.52,Master’s Degree,9,2727,3182,4.39,13.99,USA,50.69
Water engineer,Finance,Decreasing,Moderate,60612.59,Master’s Degree,0,8430,8411,3.13,51.16,USA,79.05
Advertising account executive,Retail,Increasing,Low,110486.38,PhD,16,3904,6261,44.7,16.4,USA,23.27
"Therapist, drama",Entertainment,Decreasing,Low,62045.98,Master’s Degree,6,7660,6599,66.74,79.36,USA,50.76
Human resources officer,Finance,Decreasing,Moderate,145896.26,PhD,12,6547,3044,38.17,89.21,USA,64.26
Broadcast journalist,Education,Increasing,High,95778.72,PhD,1,6355,6770,49.05,12.54,USA,50
Print production planner,Manufacturing,Increasing,Low,86871.3,PhD,3,1957,5259,74.93,64.04,USA,53.89
"Therapist, horticultural",Retail,Decreasing,Low,76297.08,Bachelor’s Degree,16,606,9746,66.79,53.24,USA,21.01
Electrical engineer,Entertainment,Decreasing,Low,112126.02,Master’s Degree,14,2807,5336,41.21,41.13,USA,71.14
Armed forces logistics/support/administrative officer,Retail,Increasing,High,63266.98,Associate Degree,6,6108,2516,70.42,0,USA,53.43
Public relations account executive,Education,Increasing,Low,36645.6,Associate Degree,20,6883,2904,21.27,13.3,USA,37.21
Psychotherapist,Retail,Increasing,Low,136735.8,Bachelor’s Degree,13,2471,2333,17.84,64.25,USA,36.03
Lexicographer,Entertainment,Decreasing,High,100887.01,Bachelor’s Degree,5,534,3788,48.86,73.29,USA,66.37
Careers information officer,Entertainment,Increasing,Low,135823.29,Master’s Degree,14,1626,238,97.34,50.09,USA,63.88
Geographical information systems officer,Finance,Increasing,Moderate,71049.72,PhD,6,2097,283,73.96,67.11,USA,62.4
Counsellor,Finance,Increasing,Moderate,106357.94,High School,17,6954,7495,20.48,53.71,USA,40.25
Fitness centre manager,Manufacturing,Decreasing,Low,83270.66,High School,3,9020,9105,35.32,56.5,USA,44.15
Media buyer,Education,Decreasing,Low,82056.07,PhD,3,7799,8024,87.28,76.95,USA,24
Risk analyst,Manufacturing,Decreasing,Low,32902.71,Associate Degree,3,2190,4920,1.9,27.63,USA,71.41
"Producer, television/film/video",Retail,Increasing,Low,80530.47,Master’s Degree,0,578,2973,63.4,6.69,USA,39.74
Contractor,Healthcare,Increasing,High,40117.11,Bachelor’s Degree,9,4179,8295,64.19,94.27,USA,72.59
Technical brewer,Finance,Decreasing,Low,135646.86,Master’s Degree,13,8378,412,48.55,88.98,USA,32.71
"Psychologist, prison and probation services",IT,Increasing,High,147818.87,High School,2,3039,3261,98.97,41.49,USA,30.05
"Engineer, biomedical",Finance,Decreasing,Moderate,103429.15,Associate Degree,14,607,9939,68.36,52.88,USA,22.7
Editorial assistant,Manufacturing,Decreasing,Low,54287.98,High School,4,9217,6171,50.8,44.87,USA,31.55
Immunologist,Manufacturing,Decreasing,Moderate,149402.73,Associate Degree,19,3428,5690,1.12,56.59,USA,69.89
Dentist,Education,Increasing,Low,54317.74,High School,2,7418,988,2.32,95.01,USA,56.44
Solicitor,Healthcare,Increasing,Moderate,98031.1,PhD,6,8193,4859,30.39,57.52,USA,42.76
Museum/gallery curator,Retail,Decreasing,Moderate,52410.2,Bachelor’s Degree,17,325,3742,79.31,40.39,USA,74.9
Osteopath,Entertainment,Increasing,Low,122897.78,PhD,8,677,2648,3.48,27.99,USA,42.74
Insurance claims handler,Transportation,Increasing,Moderate,133782.4,High School,16,6104,2016,65.51,17.2,USA,55.17
"Engineer, electrical",Education,Decreasing,Moderate,45583.44,PhD,8,3730,9256,20.27,53.79,USA,35.28
"Accountant, chartered management",Healthcare,Decreasing,High,128643.34,High School,0,4112,7053,38.78,73.18,USA,78.48
Solicitor,Healthcare,Increasing,High,107449.7,Associate Degree,3,3712,5547,86.04,12.43,USA,41.58
"Engineer, aeronautical",Manufacturing,Increasing,Moderate,69271.86,Associate Degree,13,6399,8985,38.45,81.34,USA,61.92
Minerals surveyor,Manufacturing,Increasing,High,97926.06,Master’s Degree,13,1840,7459,27.65,43.59,USA,71.26
"Engineer, mining",Entertainment,Decreasing,Moderate,95933.99,Associate Degree,3,7727,4922,32.66,85.28,USA,38.61
Radiation protection practitioner,Entertainment,Decreasing,Moderate,72091.2,Master’s Degree,9,6985,1796,14.45,46.19,USA,50.05
Public relations officer,Healthcare,Decreasing,Moderate,44762.73,Associate Degree,17,4160,8425,2.02,43.53,USA,59.83
Bonds trader,Education,Increasing,High,93219.78,Master’s Degree,1,7174,5444,29.22,23.87,USA,23.13
International aid/development worker,Retail,Increasing,Low,77594.62,PhD,0,3301,869,54.15,38.02,USA,70.5
"Doctor, general practice",IT,Increasing,Low,125372.21,Bachelor’s Degree,7,3094,7176,83.22,66.55,USA,24.97
Engineering geologist,Transportation,Decreasing,High,34299.92,PhD,15,8531,5524,73.33,97.62,USA,24.86
Tourism officer,Healthcare,Increasing,Low,76995.59,Bachelor’s Degree,20,2352,1436,88.74,63.76,USA,39.7
"Psychologist, counselling",Transportation,Increasing,Low,102554.18,High School,4,9062,4147,1.02,96.54,USA,23.78
Occupational psychologist,Transportation,Increasing,High,130669.66,Master’s Degree,3,687,619,86.11,96.06,USA,45.37
"Engineer, electronics",Retail,Increasing,High,55302.66,PhD,2,8199,8966,67.22,24.83,USA,45.7
Air cabin crew,Transportation,Decreasing,Low,107303.95,Bachelor’s Degree,16,4273,6493,96.92,0.19,USA,64.55
"Therapist, speech and language",Entertainment,Decreasing,Moderate,32554.25,Bachelor’s Degree,1,1426,2794,76.84,36.5,USA,41.11
Data processing manager,Education,Increasing,Low,115751.07,Associate Degree,9,2574,3424,71.99,6.16,USA,20.02
Science writer,Finance,Increasing,Moderate,68678.33,Master’s Degree,9,7154,6100,39.12,49.8,USA,77.52
Government social research officer,Transportation,Decreasing,Moderate,137794.7,Bachelor’s Degree,17,9984,284,33.17,46.14,USA,61.11
"Designer, industrial/product",Retail,Decreasing,Low,133361.54,PhD,7,4682,3637,96.04,32.78,USA,59.55
Illustrator,Manufacturing,Increasing,Low,93193.17,Master’s Degree,3,2131,8344,53.21,44.71,USA,20.15
Fish farm manager,Entertainment,Increasing,Low,132697.56,Associate Degree,10,8970,3228,54.79,29.79,USA,65.87
Risk analyst,IT,Decreasing,Low,53898.85,Bachelor’s Degree,15,205,512,17.29,99.96,USA,59.33
Chiropractor,Retail,Increasing,Low,97289.63,PhD,16,8274,7281,76.4,44.26,USA,50.75
Herpetologist,Education,Decreasing,High,103042.4,Bachelor’s Degree,9,261,1803,54.94,18.47,USA,41.73
"Surveyor, land/geomatics",Retail,Decreasing,Low,76237.25,Master’s Degree,16,6667,3374,4.04,24.95,USA,49.75
Maintenance engineer,Entertainment,Increasing,Low,82505.3,Associate Degree,6,9543,9800,49.03,99.73,USA,76.19
"Designer, textile",Retail,Increasing,High,106759.39,High School,11,4619,5882,72.82,28.84,USA,35.82
Risk manager,Healthcare,Decreasing,Low,100814.53,High School,17,1349,4819,81.33,64.55,USA,29.85
"Therapist, art",Manufacturing,Decreasing,Moderate,123745.04,Associate Degree,15,6950,2435,7.34,56.73,USA,70.95
Corporate investment banker,Retail,Decreasing,High,80675.8,Master’s Degree,4,3131,8064,16.53,73.49,USA,46.78
Tour manager,Manufacturing,Decreasing,Low,92156.54,Associate Degree,1,1020,3498,23.61,1.37,USA,44.24
Operational researcher,Entertainment,Increasing,Low,47554.74,PhD,11,8376,7229,73.12,93.42,USA,44.16
Transport planner,Education,Decreasing,High,55530.55,Master’s Degree,20,2322,102,96.04,49.11,USA,24.26
Community development worker,Manufacturing,Increasing,High,54850.7,High School,0,8483,9658,45.77,30.68,USA,68.13
Clinical research associate,Healthcare,Decreasing,Moderate,126589.37,Bachelor’s Degree,0,326,7216,33.6,20.94,USA,42.89
Bookseller,Manufacturing,Decreasing,Low,74750.3,PhD,11,4628,356,36.18,33.38,USA,51.23
Medical illustrator,Finance,Decreasing,High,99635.85,Bachelor’s Degree,7,7042,4285,44.06,82.25,USA,31.65
Medical technical officer,Entertainment,Increasing,High,58455.33,PhD,1,3357,3526,99.67,57.22,USA,42.6
"Teacher, primary school",Finance,Increasing,High,141373.14,Master’s Degree,16,5562,7807,58.94,11.87,USA,52.55
Insurance risk surveyor,Healthcare,Increasing,Low,37053.07,PhD,10,3330,2280,25.71,50.48,USA,74.89
Chiropractor,Manufacturing,Decreasing,Low,75462.04,Master’s Degree,12,2192,2462,74.2,86.07,USA,67.73
Tour manager,IT,Decreasing,Low,83596.29,Associate Degree,1,6624,4456,3.51,23.57,USA,57.35
Chartered loss adjuster,Healthcare,Increasing,Moderate,49250.71,High School,0,1241,8137,50.78,35.05,USA,76.05
Medical technical officer,Transportation,Decreasing,Moderate,68886.36,High School,14,198,8494,45.64,28.32,USA,49.12
Politician's assistant,Finance,Increasing,High,100148.33,Associate Degree,9,6323,5286,14.97,70.39,USA,52.42
"Surveyor, commercial/residential",Entertainment,Decreasing,Moderate,146003.66,Associate Degree,16,3274,9386,25.08,17.53,USA,77.2
Technical sales engineer,Healthcare,Decreasing,Low,40731.14,Associate Degree,20,2823,9294,36.23,74.95,USA,30.27
Product manager,Education,Increasing,High,118667.01,High School,5,3315,4320,92.63,99.92,USA,71.66
Multimedia programmer,IT,Increasing,Moderate,41800.82,High School,2,3840,7075,97.67,13.93,USA,62.69
Product manager,Healthcare,Decreasing,Low,49347.2,High School,11,485,6162,56.44,96.64,USA,34.46
Call centre manager,Healthcare,Increasing,Low,67342.41,PhD,12,7296,7938,53.65,38.76,USA,23.06
Marine scientist,Manufacturing,Decreasing,High,62786.61,High School,4,5559,4000,80.01,55.59,USA,49.24
Oncologist,Retail,Decreasing,Low,85115.01,High School,4,2795,2731,35.41,20.46,USA,46.54
"Scientist, biomedical",Healthcare,Increasing,High,117732.11,Master’s Degree,19,4215,4876,30.49,80.93,USA,79.62
"Scientist, product/process development",Transportation,Increasing,Moderate,106498.74,PhD,1,6295,2623,80.67,68.16,USA,48.86
Arts development officer,Education,Decreasing,High,59081.16,Master’s Degree,7,1231,6213,80.76,37.06,USA,24.19
Social worker,IT,Increasing,Low,142847.77,Master’s Degree,10,4859,8994,47.17,77.99,USA,41.57
"Pilot, airline",Manufacturing,Decreasing,Low,148093.37,High School,10,742,4198,53.68,37.52,USA,41.25
Orthoptist,Education,Increasing,High,138539.62,High School,11,2276,5268,19.65,39.43,USA,78.99
Chief Operating Officer,Education,Decreasing,High,149622.75,Master’s Degree,16,8815,361,25.79,33.34,USA,79.68
Applications developer,Entertainment,Decreasing,High,39586.46,PhD,8,8780,5364,28.8,20.18,USA,31.5
Manufacturing systems engineer,Entertainment,Increasing,High,93636.58,Bachelor’s Degree,3,9856,3654,58.98,96.31,USA,27.66
Theatre director,Education,Decreasing,Moderate,52877.78,Master’s Degree,4,5845,3455,13.33,53.22,USA,59.41
Hydrographic surveyor,Retail,Increasing,Low,88954.84,PhD,7,6283,162,99.47,1.36,USA,70.53
"Nurse, children's",Retail,Decreasing,Moderate,123575.3,Master’s Degree,2,7327,6901,79.17,60.78,USA,54.08
Minerals surveyor,Retail,Increasing,High,113626.5,Associate Degree,6,7616,2483,61.73,89.52,USA,79.62
Television camera operator,IT,Decreasing,High,141078.58,Bachelor’s Degree,16,9213,3353,51.5,91.88,USA,23.41
Licensed conveyancer,Finance,Decreasing,High,52661.6,PhD,15,1589,1535,5.54,21.97,USA,37.03
"Engineer, drilling",IT,Decreasing,Low,128889.78,Master’s Degree,19,8582,4749,96.59,93.78,USA,43.37
Exhibition designer,Entertainment,Decreasing,Low,64263.34,High School,3,8194,7436,93.49,73.31,USA,69.54
Early years teacher,Manufacturing,Decreasing,Moderate,117174.59,Associate Degree,0,3940,1035,5.67,40.64,USA,40.01
"Surveyor, quantity",Transportation,Increasing,Moderate,52864.86,Bachelor’s Degree,7,4266,8150,19.04,7.25,USA,25.14
Television/film/video producer,Healthcare,Increasing,Low,129463.11,PhD,9,499,581,94.07,45.46,USA,68.07
Secretary/administrator,Retail,Decreasing,Moderate,110221.29,PhD,9,1833,6827,30.07,54.31,USA,68.84
"Scientist, water quality",Education,Increasing,High,44400.2,PhD,5,1528,5502,38.42,90.09,USA,65.41
Minerals surveyor,Finance,Increasing,Moderate,114617.5,Associate Degree,7,8982,6353,14.33,33.09,USA,55.28
"Scientist, biomedical",Healthcare,Decreasing,Low,138170.1,Bachelor’s Degree,4,7791,1186,24.69,55.85,USA,38.8
Chartered legal executive (England and Wales),Manufacturing,Increasing,Moderate,79194.5,Bachelor’s Degree,10,4013,5844,40.78,52.54,USA,31.07
Airline pilot,Healthcare,Increasing,Moderate,32447.98,PhD,15,5290,2696,90.33,37.44,USA,29.72
"Engineer, technical sales",Healthcare,Increasing,Low,48825.53,PhD,11,6482,8325,41.21,57.42,USA,47.37
Telecommunications researcher,Retail,Decreasing,Moderate,72477.81,High School,6,781,3529,23.9,61.11,USA,43.02
Community development worker,IT,Decreasing,High,61611.82,Associate Degree,8,5220,3816,68.46,6.28,USA,21.66
"Administrator, Civil Service",Education,Decreasing,Moderate,136566.34,PhD,20,3316,295,79.33,22.36,USA,43.47
Forensic scientist,Entertainment,Decreasing,High,136782.71,High School,17,6776,5874,28.99,60.41,USA,33.42
Dentist,Manufacturing,Increasing,Low,87742.91,High School,5,4331,4288,19.98,40.09,USA,73.46
"Therapist, speech and language",Entertainment,Decreasing,Low,59488.14,Master’s Degree,6,692,1016,69.66,77.19,USA,69.24
Medical laboratory scientific officer,Retail,Decreasing,Low,124229.47,High School,4,4212,7967,15.48,92.75,USA,25.28
Dancer,Healthcare,Decreasing,Moderate,138057.03,Associate Degree,8,4794,3909,73.81,86.58,USA,47.76
Geophysicist/field seismologist,Education,Decreasing,High,30523.88,Bachelor’s Degree,8,1808,183,41.05,77.6,USA,34.97
General practice doctor,Manufacturing,Decreasing,High,149284.58,Master’s Degree,2,2785,843,12.96,26.81,USA,70.63
"Scientist, forensic",Retail,Decreasing,Moderate,35324.69,Bachelor’s Degree,6,2575,433,57.52,96.98,USA,54.96
Chief Technology Officer,Entertainment,Increasing,Low,70474.92,Master’s Degree,12,1191,4132,98.17,74.26,USA,39.06
Newspaper journalist,Retail,Decreasing,Low,30499.07,Associate Degree,6,9990,718,14.54,15.82,USA,24.54
Legal executive,Manufacturing,Decreasing,High,55372.56,Master’s Degree,10,7694,8744,73.54,77.2,USA,75.5
Purchasing manager,IT,Decreasing,Low,89645.59,High School,9,5786,1419,94.34,69.46,USA,27.67
Private music teacher,Finance,Decreasing,Low,40745.5,Associate Degree,8,4486,6085,75.02,50.78,USA,26.19
"Designer, ceramics/pottery",Manufacturing,Decreasing,High,131976.57,Associate Degree,7,4750,6531,53.48,36.87,USA,68.31
Legal executive,Transportation,Decreasing,Moderate,114213.72,PhD,5,8070,6674,71.09,65.56,USA,34.15
Cabin crew,Healthcare,Decreasing,Moderate,86401.43,High School,19,3565,1370,90.34,93.74,USA,59.53
Sports development officer,Retail,Increasing,Low,106136.87,High School,0,2911,6586,96.92,11.57,USA,49.58
"Therapist, art",Transportation,Increasing,Moderate,33475.98,Bachelor’s Degree,5,9394,6960,10.24,23.19,USA,55.7
General practice doctor,Finance,Decreasing,High,106771.26,PhD,6,6277,152,14.53,1.34,USA,27.52
Company secretary,IT,Decreasing,Moderate,138213.73,PhD,14,1551,7212,87.49,91.03,USA,49.43
Careers information officer,Education,Increasing,Moderate,53184.95,Master’s Degree,19,6810,3178,40.76,72.26,USA,58.14
Colour technologist,IT,Decreasing,Moderate,74237.4,Associate Degree,11,8111,4444,67.25,58.33,USA,75.79
Systems analyst,Retail,Increasing,Moderate,124511.04,Bachelor’s Degree,9,4352,210,80.29,62.84,USA,76.52
Writer,Education,Decreasing,High,60226.64,Master’s Degree,11,7669,3979,92.89,77.94,USA,35.21
"Designer, textile",Transportation,Decreasing,High,41527.25,Associate Degree,10,7157,4789,59.09,13.34,USA,65.95
